anchor_id,selected_k,split,branch,num_samples,median_response_cosine,q25_response_cosine,contact_mode_purity,matrix
844,6,hold_eps003,4,17,0.9985637977020998,0.994349188973905,0.7058823529411765,"[[-0.006650024119887044,0.0025301059438865366,0.008207401539349584,-0.05371779406658073,-0.012033346417111512,0.030385549186243806],[0.004872899286971118,0.0017167662971235404,0.00045915364152355337,-0.014721096799204,-0.007020653960547766,0.006003881365804953],[0.004580361149430911,0.0016224734869422725,0.0009801973895228351,-0.014898645653874713,-0.007595587484372242,0.0063065173546402575]]"
844,6,hold_eps003,5,15,0.9962530714287582,0.9909665535099912,0.6,"[[-0.0006613320817818923,-0.0009385287640297853,0.0008202392474146032,-0.00012043937187747085,-0.0009172572292196204,9.022929604742775e-05],[0.003936059469091915,3.483792900057201e-05,-0.0004831334081626931,-0.00023278044057999507,-0.004256234758187189,-0.0020840961516360263],[0.0033533406756587254,-0.00042800992600707536,-0.00010896718516961214,-0.00031204353286260427,-0.004338854188951192,-0.0018272334144312317]]"
844,6,hold_eps010,0,21,0.988792595606361,0.9580262219282107,0.5714285714285714,"[[0.00045649366767416507,0.00013058147670295462,-0.00017860209451243684,-0.00025694245670560787,0.0009573993160140445,0.0009727276723140715],[0.004960380568644009,0.0014081439103051866,-0.0005573975871826582,0.00046681649309384727,-0.0016152589875985835,-0.0014705781206226201],[0.00471264748438053,0.0013911766189347555,-0.00043646100589752343,0.0004237615240383629,-0.001031362804065678,-0.0009568073162974908]]"
844,6,hold_eps010,1,10,0.9943075260486367,0.9885280165594973,0.6,"[[0.01783799656190029,-0.013513438907967327,-0.04301436818288167,0.03704261520836271,0.0004156174097548186,0.03126337442615425],[0.011183089390431744,-0.002770051674514626,-0.013880838127821225,0.011781187502125479,-0.0025725102642086485,0.0055578326520023],[0.011359087408039082,-0.002937629688604444,-0.01417478025821408,0.01231881378178853,-0.002182694055115154,0.005681753011929576]]"
844,6,hold_eps010,2,19,0.9896452914953859,0.7075982645584578,0.5789473684210527,"[[0.0009337023681145844,0.00025696511963713104,-0.0007239524837624399,8.330195729799769e-05,0.00010296728654991282,-0.0013915393801459106],[0.006981664862537292,0.002400565699469132,-0.002556994967566547,0.0009293844571038153,-0.002286849749052435,-0.005468982984945428],[0.006990847622461231,0.002448581309321534,-0.0027604981891532396,0.000941053090857678,-0.0019994824350184157,-0.005873306275538129]]"
844,6,hold_eps010,3,11,0.994982811007011,0.9937356022233778,0.6363636363636364,"[[-0.003941801011116479,0.0084283986761706,0.023189671200497648,0.02891155605567253,0.006408868739902208,-0.05634273012916329],[0.00464658764709371,0.003831153195232254,0.005959516093958946,0.009243517700409152,-0.0011096974389075637,-0.018951243405472037],[0.004661287425771379,0.003998463843887227,0.006277110501216348,0.00958230149392609,-0.000950998975964488,-0.019163158532317717]]"
844,6,hold_eps010,4,13,0.9960582537701719,0.9705048240608339,0.6153846153846154,"[[-0.006650024119887044,0.0025301059438865366,0.008207401539349584,-0.05371779406658073,-0.012033346417111512,0.030385549186243806],[0.004872899286971118,0.0017167662971235404,0.00045915364152355337,-0.014721096799204,-0.007020653960547766,0.006003881365804953],[0.004580361149430911,0.0016224734869422725,0.0009801973895228351,-0.014898645653874713,-0.007595587484372242,0.0063065173546402575]]"
844,6,hold_eps010,5,18,0.7591956139837107,0.44254627957587395,0.6111111111111112,"[[-0.0006613320817818923,-0.0009385287640297853,0.0008202392474146032,-0.00012043937187747085,-0.0009172572292196204,9.022929604742775e-05],[0.003936059469091915,3.483792900057201e-05,-0.0004831334081626931,-0.00023278044057999507,-0.004256234758187189,-0.0020840961516360263],[0.0033533406756587254,-0.00042800992600707536,-0.00010896718516961214,-0.00031204353286260427,-0.004338854188951192,-0.0018272334144312317]]"
1237,4,train_eps003,0,100,0.9028650843720085,0.8154595961986059,0.69,"[[0.008359014637678373,0.004153018472988646,-0.0055652162330667105,0.0011954617218141528,-0.0033029283589129403,-0.0013348912704517595],[0.004986225034422062,5.282994897056703e-05,-0.0010205153954821519,0.0014362438175984872,-0.0026370755367478454,-0.0022947685497866576],[0.004281458717638854,-0.0006159910191983224,-0.00040906377383241436,0.0011299143815687756,-0.0028654739635810608,-0.0026754383485643883]]"
1237,4,train_eps003,1,105,0.9752410620933127,0.9280780385524285,0.6952380952380952,"[[-0.0038555232289265817,-1.2475847496942894e-05,0.003670403472269048,0.0021074491109223372,0.0008739837550688757,-0.0007537548349722461],[0.011576382191527266,0.0013800965522932805,-0.0053870877040422364,0.0007812341796919778,-0.005295277108965192,-0.003794335216754101],[0.009089089900236316,0.0012750547175357956,-0.004551765029334739,0.0006436768011734749,-0.003781826145231528,-0.002645434543557994]]"
