anchor_id,selected_k,variant,split,accuracy,balanced_accuracy,macro_f1,majority_accuracy,chance_balanced_accuracy,status
19119,6,post_contact_oracle,hold_eps010,0.31521739130434784,0.1616635397123202,0.11648783224630059,0.44565217391304346,0.16666666666666666,ok
19119,6,direction_plus_post_contact_oracle,hold_eps003,0.33695652173913043,0.37066072329230226,0.3292124542124542,0.2717391304347826,0.16666666666666666,ok
19119,6,direction_plus_post_contact_oracle,hold_eps010,0.08695652173913043,0.0771680216802168,0.06157578094251267,0.44565217391304346,0.16666666666666666,ok
19633,5,direction_deployable,hold_eps003,0.31521739130434784,0.2613333333333333,0.22095238095238093,0.32608695652173914,0.2,ok
19633,5,direction_deployable,hold_eps010,0.33695652173913043,0.24433944433944435,0.2128860028860029,0.40217391304347827,0.2,ok
19633,5,post_contact_oracle,hold_eps003,0.2717391304347826,0.217,0.12057416267942585,0.32608695652173914,0.2,ok
19633,5,post_contact_oracle,hold_eps010,0.40217391304347827,0.3945945945945946,0.1680327868852459,0.40217391304347827,0.2,ok
19633,5,direction_plus_post_contact_oracle,hold_eps003,0.31521739130434784,0.25947619047619047,0.24421395597866188,0.32608695652173914,0.2,ok
19633,5,direction_plus_post_contact_oracle,hold_eps010,0.32608695652173914,0.40359100359100364,0.23495522843996408,0.40217391304347827,0.2,ok
22738,5,direction_deployable,hold_eps003,0.2826086956521739,0.22687747035573125,0.18319047619047618,0.25,0.2,ok
22738,5,direction_deployable,hold_eps010,0.08695652173913043,0.10605621558968417,0.06070075945351074,0.31521739130434784,0.2,ok
22738,5,post_contact_oracle,hold_eps003,0.20652173913043478,0.16521739130434782,0.1,0.25,0.2,ok
22738,5,post_contact_oracle,hold_eps010,0.08695652173913043,0.1781512605042017,0.05505050505050505,0.31521739130434784,0.2,ok
22738,5,direction_plus_post_contact_oracle,hold_eps003,0.2608695652173913,0.20909090909090908,0.1597576632964211,0.25,0.2,ok
22738,5,direction_plus_post_contact_oracle,hold_eps010,0.08695652173913043,0.1445378151260504,0.058898305084745764,0.31521739130434784,0.2,ok
26188,6,direction_deployable,hold_eps003,0.29347826086956524,0.26464363523187057,0.2348875661375661,0.21739130434782608,0.16666666666666666,ok
26188,6,direction_deployable,hold_eps010,0.13043478260869565,0.1435483870967742,0.1079209288511614,0.33695652173913043,0.16666666666666666,ok
26188,6,post_contact_oracle,hold_eps003,0.29347826086956524,0.2738095238095238,0.14111081583842677,0.21739130434782608,0.16666666666666666,ok
26188,6,post_contact_oracle,hold_eps010,0.32608695652173914,0.19815668202764977,0.12193362193362194,0.33695652173913043,0.16666666666666666,ok
26188,6,direction_plus_post_contact_oracle,hold_eps003,0.44565217391304346,0.404474011826953,0.3765078857630008,0.21739130434782608,0.16666666666666666,ok
26188,6,direction_plus_post_contact_oracle,hold_eps010,0.2608695652173913,0.1870711725550435,0.16585266585266584,0.33695652173913043,0.16666666666666666,ok
